subsub-2842950,ses1,	subsub-2842950,ses2,	subsub-3315657,ses2,	subsub-1961098,ses2,	subsub-3315657,ses1,	subsub-1961098,ses1,	subsub-2799329,ses1,	subsub-2475376,ses1,	subsub-8735778,ses1,	subsub-1793622,ses2,	subsub-2799329,ses2,	subsub-2475376,ses2,	subsub-8735778,ses2,	subsub-1793622,ses1,	subsub-9630905,ses1,	subsub-7055197,ses1,	subsub-9630905,ses2,	subsub-7055197,ses2,	subsub-0021024,ses2,	subsub-0021002,ses1,	subsub-0021002,ses2,	subsub-0021024,ses1,	subsub-0021006,ses2,	subsub-0021006,ses1,	subsub-3313349,ses2,	subsub-0021001,ses1,	subsub-4176156,ses2,	subsub-0021018,ses1,	subsub-3808535,ses2,	subsub-0021001,ses2,	subsub-3313349,ses1,	subsub-4176156,ses1,	subsub-0021018,ses2,	subsub-3808535,ses1,	subsub-3795193,ses2,	subsub-3201815,ses2,	subsub-4288245,ses1,	subsub-3795193,ses1,	subsub-3201815,ses1,	subsub-4288245,ses2,
degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,
19,1,	20,1,	15,1,	16,1,	16,1,	15,1,	15,1,	18,1,	20,1,	13,1,	15,1,	19,1,	17,1,	14,1,	14,2,	15,1,	15,1,	17,1,	13,1,	12,1,	12,1,	14,1,	16,1,	16,1,	15,1,	16,1,	15,1,	19,1,	16,1,	13,1,	17,1,	16,1,	18,1,	16,1,	15,1,	17,1,	14,2,	11,1,	16,1,	14,2,
16,1,	18,1,	12,1,	13,3,	12,1,	14,1,	12,1,	13,1,	14,1,	11,3,	11,2,	14,1,	14,1,	12,1,	13,1,	13,1,	14,1,	14,2,	11,2,	10,2,	11,1,	11,1,	14,1,	13,2,	14,1,	15,1,	13,1,	12,4,	12,1,	11,1,	14,1,	11,1,	12,1,	12,1,	12,4,	15,1,	12,5,	10,2,	12,1,	13,2,
13,2,	14,1,	11,5,	11,3,	11,3,	13,2,	11,4,	12,1,	12,1,	10,1,	10,6,	13,1,	13,2,	11,2,	12,2,	12,2,	13,1,	12,1,	10,1,	9,4,	10,1,	10,1,	13,3,	11,4,	13,1,	11,2,	11,2,	11,1,	9,1,	10,1,	12,1,	9,2,	11,3,	9,1,	10,2,	13,1,	11,2,	9,4,	11,3,	12,3,
11,2,	12,2,	10,1,	10,3,	10,2,	12,1,	10,2,	11,3,	10,3,	9,1,	8,1,	12,1,	11,1,	10,3,	11,1,	11,1,	12,3,	11,1,	9,4,	8,1,	9,4,	9,4,	12,3,	9,1,	12,4,	10,4,	10,1,	10,1,	8,2,	9,1,	11,3,	8,1,	10,1,	8,1,	9,3,	12,1,	10,1,	8,1,	10,3,	11,1,
10,1,	11,2,	9,1,	9,2,	9,1,	11,4,	9,2,	10,2,	9,2,	8,2,	6,2,	11,1,	10,2,	9,2,	10,1,	10,5,	11,1,	10,1,	7,1,	7,1,	8,1,	8,1,	11,2,	8,4,	11,1,	9,2,	9,3,	9,1,	7,1,	7,3,	10,2,	7,1,	9,3,	7,1,	8,1,	11,4,	8,1,	7,3,	9,1,	10,1,
9,3,	10,2,	8,1,	7,2,	8,1,	10,2,	7,1,	8,2,	8,1,	7,2,	4,6,	10,3,	9,2,	7,1,	9,1,	9,1,	9,2,	9,3,	6,3,	5,8,	7,2,	7,2,	10,1,	7,1,	10,1,	7,2,	8,1,	8,2,	6,7,	6,4,	9,2,	6,4,	7,2,	6,3,	7,2,	10,1,	5,3,	6,1,	6,2,	9,2,
6,5,	7,2,	6,1,	4,1,	7,1,	8,2,	6,1,	7,2,	7,3,	5,3,	3,3,	9,1,	8,3,	6,1,	8,1,	8,1,	8,1,	8,1,	5,2,	4,3,	6,1,	6,2,	9,2,	6,1,	9,2,	6,3,	7,2,	7,2,	5,3,	5,5,	8,1,	5,4,	6,2,	5,3,	5,2,	9,1,	3,5,	5,4,	5,4,	7,1,
5,2,	6,3,	5,2,	3,1,	5,3,	6,1,	5,2,	6,1,	5,2,	4,1,	2,9,	8,1,	6,1,	5,2,	7,2,	6,1,	7,3,	7,2,	4,1,	3,7,	5,6,	5,1,	8,1,	4,3,	8,1,	5,5,	6,1,	6,3,	4,6,	4,7,	7,1,	4,2,	5,3,	4,6,	4,4,	8,1,	2,7,	4,5,	4,1,	5,1,
4,5,	5,2,	4,2,	2,10,	4,3,	4,2,	4,5,	5,2,	4,5,	3,9,	1,12,	7,2,	5,1,	4,2,	6,2,	5,2,	4,6,	5,4,	3,7,	2,8,	4,2,	4,1,	6,1,	3,3,	6,1,	4,5,	5,3,	5,1,	3,9,	3,7,	6,1,	3,4,	4,2,	3,12,	3,2,	5,2,	1,10,	3,1,	3,9,	4,2,
