session_id,session_number,threshold,density, avg_clst, avg_deg, r2
sub-1961098,2,10,0.29454390451832907,0.7374419804182465,20.028985507246375,0.4538222016860044
sub-1961098,1,10,0.28405797101449276,0.7144903826149694,19.6,0.14034689590078986
sub-4288245,1,10,0.2848990342405619,0.7320468782609751,19.08823529411765,0.7577339526149907
sub-2475376,2,10,0.28753292361720806,0.713482351736336,19.264705882352942,0.2349706668844701
sub-8735778,2,10,0.29965899403239554,0.724856829185584,20.3768115942029,0.6025221921818944
sub-3313349,1,10,0.30807453416149067,0.7345901549324677,21.257142857142856,0.6492699086545349
sub-3808535,1,10,0.2549019607843137,0.7140913356295245,17.333333333333332,0.7944735402926497
sub-3808535,2,10,0.26427962489343565,0.7091848451591524,17.971014492753625,0.7150598955672482
sub-8735778,1,10,0.2915601023017903,0.696823287447571,19.82608695652174,0.5547998022597819
sub-3313349,2,10,0.31628303495311166,0.7574104265534186,21.507246376811594,0.754297055096685
sub-2475376,1,10,0.30529172320217096,0.7192955449549502,20.149253731343283,0.3365958352751963
sub-4288245,2,10,0.2884108867427568,0.7326690790086628,19.323529411764707,0.7202690530001495
sub-0021018,2,10,0.2993854258121159,0.7641246937828368,20.058823529411764,0.6245945410790568
sub-0021018,1,10,0.31387181738366987,0.7681326696233912,21.029411764705884,0.3938288377388507
sub-0021002,2,10,0.27791986359761295,0.7378584193908663,18.89855072463768,0.8214247643891078
sub-3795193,1,10,0.26953467954345917,0.725275815263544,18.058823529411764,0.3120270184583662
sub-2842950,1,10,0.3077260755048288,0.7238767925494886,20.61764705882353,0.641749847605237
sub-0021024,2,10,0.27436347673397715,0.7280029442067226,18.38235294117647,0.47147230173566446
sub-2842950,2,10,0.31167690956979804,0.7171332716814084,20.88235294117647,0.5592784541557236
sub-0021024,1,10,0.26514486391571557,0.7375540019969905,17.764705882352942,0.7429985639937902
sub-0021002,1,10,0.2774936061381074,0.7340013532356735,18.869565217391305,0.8124623294935528
sub-3795193,2,10,0.3015803336259877,0.7542878844280699,20.205882352941178,0.24489754218106996
sub-7055197,2,10,0.2693947144075021,0.6977926707639379,18.318840579710145,0.2839728056530689
sub-7055197,1,10,0.2595907928388747,0.7208042411390067,17.652173913043477,0.5348315332438763
sub-2799329,2,10,0.28928884986830555,0.7303265847242933,19.38235294117647,0.671264451305418
sub-2799329,1,10,0.29280070237050043,0.7235654928445632,19.61764705882353,0.6358606668052483
sub-0021001,1,10,0.33230904302019315,0.7344948389896092,22.264705882352942,0.213297631966744
sub-9630905,2,10,0.30245829675153646,0.7429904062889446,20.264705882352942,0.24230281021583389
sub-4176156,1,10,0.24495171202809482,0.731117780615757,16.41176470588235,0.6678353685227667
sub-1793622,1,10,0.2783143107989464,0.7371404106056119,18.647058823529413,0.7676889523940199
sub-1793622,2,10,0.26514486391571557,0.7170192740269399,17.764705882352942,0.591329881292892
sub-4176156,2,10,0.2647058823529412,0.722876560019845,17.735294117647058,0.332140148660258
sub-9630905,1,10,0.30212573496155587,0.7370291834473408,19.940298507462686,0.7434664727436511
sub-0021001,2,10,0.28138718173836696,0.7246388804151402,18.852941176470587,0.6855514263688764
sub-0021006,2,10,0.282815734989648,0.7317741541316098,19.514285714285716,0.6584978857499664
sub-3201815,1,10,0.2980684811237928,0.7280944234386331,19.970588235294116,0.5490632273958425
sub-3315657,2,10,0.26342710997442453,0.7333106860386513,17.91304347826087,0.7439249703151258
sub-3315657,1,10,0.2612958226768968,0.7200155214086401,17.768115942028984,0.3770386759022283
sub-3201815,2,10,0.3090430201931519,0.7498744126086244,20.705882352941178,0.7150425487280403
sub-0021006,1,10,0.2753623188405797,0.7244651111430852,19.0,0.3023449447510731
sub-1961098,2,50,0.22478516508367255,0.6772473750508754,14.835820895522389,0.015235673704915742
sub-1961098,1,50,0.23030303030303031,0.6887905957746059,14.969696969696969,0.16701866234378104
sub-4288245,1,50,0.22843822843822845,0.7276190101397537,14.848484848484848,0.6333860923826239
sub-2475376,2,50,0.22115384615384615,0.6945061246036274,14.153846153846153,0.2651297180331873
sub-8735778,2,50,0.21166892808683854,0.6868931774014572,13.970149253731343,0.20959121169487693
sub-3313349,1,50,0.248018648018648,0.7125001727607844,16.12121212121212,0.5843419947492745
sub-3808535,1,50,0.1786521935775667,0.6818322510989208,11.791044776119403,0.4164440689176476
sub-3808535,2,50,0.18181818181818182,0.7029458075027343,11.818181818181818,0.7265734814668605
sub-8735778,1,50,0.20985979194934418,0.682990746016737,13.850746268656716,0.3485910930469225
sub-3313349,2,50,0.2573496155585708,0.7198864268179118,16.98507462686567,0.28480922442259493
sub-2475376,1,50,0.2177156177156177,0.6920132551702863,14.151515151515152,0.2503669758219159
sub-4288245,2,50,0.22937062937062938,0.7233677070885526,14.909090909090908,0.6021975042622705
sub-0021018,2,50,0.2466200466200466,0.7452923090785116,16.03030303030303,0.3817683084695548
sub-0021018,1,50,0.24475524475524477,0.7597937040771807,15.909090909090908,0.3494494515043006
sub-0021002,2,50,0.20578923563998192,0.7052770769662716,13.582089552238806,0.5750663019564524
sub-3795193,1,50,0.19673659673659674,0.6901419006286599,12.787878787878787,0.23632422439133205
sub-2842950,1,50,0.2152777777777778,0.7274864629907981,13.5625,0.6623450679802667
sub-0021024,2,50,0.22548076923076923,0.696031210071346,14.430769230769231,0.2595608102362088
sub-2842950,2,50,0.2041958041958042,0.7047431835147351,13.272727272727273,0.4114016332580692
sub-0021024,1,50,0.21201923076923077,0.6957638528258294,13.569230769230769,0.486708338699988
sub-0021002,1,50,0.21031207598371776,0.6862029792069435,13.880597014925373,0.34823357851147896
sub-3795193,2,50,0.23636363636363636,0.7348708588003189,15.363636363636363,0.3663140684021352
sub-7055197,2,50,0.20512820512820512,0.7038449324054262,13.333333333333334,0.4825449326051158
sub-7055197,1,50,0.21585081585081586,0.7282582834533246,14.030303030303031,0.6196695900702616
sub-2799329,2,50,0.23123543123543125,0.7094693638941507,15.030303030303031,0.5929447026077035
sub-2799329,1,50,0.2298076923076923,0.7066275478646672,14.707692307692307,0.43326736115475106
sub-0021001,1,50,0.23030303030303031,0.6940617852039855,14.969696969696969,0.4493013938765028
sub-9630905,2,50,0.22523744911804613,0.7132223230226225,14.865671641791044,0.18549800503784208
sub-4176156,1,50,0.1822843822843823,0.6955080788063047,11.848484848484848,0.5461017471092577
sub-1793622,1,50,0.206993006993007,0.699547086765902,13.454545454545455,0.5856914789397809
sub-1793622,2,50,0.19347319347319347,0.6977482515076882,12.575757575757576,0.5489557650952566
sub-4176156,2,50,0.19533799533799534,0.7144298613111573,12.696969696969697,0.45970909525432535
sub-9630905,1,50,0.21212121212121213,0.6766310814261842,14.0,0.14186225969798716
sub-0021001,2,50,0.20652680652680652,0.6945526931459566,13.424242424242424,0.4337617388723398
sub-0021006,2,50,0.21305361305361306,0.7032283490618451,13.848484848484848,0.464113865214244
sub-3201815,1,50,0.2191142191142191,0.6956926938019491,14.242424242424242,0.22276495654654072
sub-3315657,2,50,0.20669380370872908,0.7038140383627463,13.64179104477612,0.34183091434844515
sub-3315657,1,50,0.20398009950248755,0.6948758693309339,13.462686567164178,0.3284322413923739
sub-3201815,2,50,0.2261420171867933,0.7086929837443237,14.925373134328359,0.43352250353644617
sub-0021006,1,50,0.21438263229308005,0.6882151205770495,14.149253731343284,0.26691073406928045
sub-1961098,2,90,0.20089285714285715,0.6974874406489333,12.65625,0.13855174046511454
sub-1961098,1,90,0.1971153846153846,0.6831241348457977,12.615384615384615,0.026359243405779886
sub-4288245,1,90,0.19423076923076923,0.7019456932690155,12.430769230769231,0.26506595067088246
sub-2475376,2,90,0.18154761904761904,0.6830540284665693,11.4375,0.1906643649064994
sub-8735778,2,90,0.17016317016317017,0.6865719388170063,11.06060606060606,0.14441686469048287
sub-3313349,1,90,0.2083916083916084,0.6834333108301015,13.545454545454545,0.17568322884588394
sub-3808535,1,90,0.14638694638694638,0.6832824118889236,9.515151515151516,0.6540719971105953
sub-3808535,2,90,0.14405594405594405,0.6727332317834921,9.363636363636363,0.40020228095791965
sub-8735778,1,90,0.16317016317016317,0.6673897396984075,10.606060606060606,0.28892318108885706
sub-3313349,2,90,0.22097902097902097,0.6911519366850124,14.363636363636363,0.06478337953092617
sub-2475376,1,90,0.17548076923076922,0.6708419227329113,11.23076923076923,0.12162591923951727
sub-4288245,2,90,0.18990384615384615,0.7024845745776092,12.153846153846153,0.27011957451755286
sub-0021018,2,90,0.21478174603174602,0.6937361407595305,13.53125,0.025813943217752988
sub-0021018,1,90,0.2222222222222222,0.7013092680220325,13.777777777777779,0.013094336523589267
sub-0021002,2,90,0.17211538461538461,0.666033979993696,11.015384615384615,0.08467824221624298
